Name,Team,Level,Age,PA,BB%,K%,AVG,OBP,SLG,OPS,ISO,BABIP,wOBA,wRC+,PlayerId
Erick Mejia,SEA,AAA,27,521,0.0940499,0.19769674,0.26077586,0.33011583,0.43318966,0.76330549,0.1724138,0.30285714,0.332231061,88.73075029,15817
Ivan Castillo,KCR,AAA,27,447,0.10067114,0.11856823,0.24234694,0.32207207,0.34693878,0.66901085,0.10459184,0.26409496,0.305026836,80.76882016,15971
Kean Wong,LAA,AAA,27,565,0.1079646,0.22123894,0.26156942,0.34219858,0.33199195,0.67419053,0.07042253,0.34048257,0.310305344,74.93010012,15994
Mark Payton,CHW,AAA,30,539,0.10018553,0.14100186,0.29299363,0.36871508,0.53927813,0.90799321,0.2462845,0.30053191,0.391198912,136.3494133,16042
Pablo Reyes,MIL,AAA,28,432,0.09027778,0.15509259,0.27272727,0.34802784,0.43896104,0.78698888,0.16623377,0.30519481,0.350359161,110.0079617,16357
Domingo Leyba,SDP,"AA,AAA",26,483,0.13457557,0.13871636,0.2549505,0.35610766,0.39851485,0.75462251,0.14356435,0.27380952,0.341852857,94.70959484,16404
Jason Martin,LAD,AAA,26,544,0.125,0.24816176,0.28510638,0.37384899,0.56382979,0.93767878,0.27872341,0.33224756,0.39427282,127.7815412,16429
John Nogowski,WSN,"AA,AAA",29,483,0.14699793,0.13664596,0.24810127,0.36645963,0.36202532,0.72848495,0.11392405,0.27272727,0.336381189,102.8106412,16852
Narciso Crook,CHC,AAA,26,409,0.08801956,0.30317848,0.25966851,0.34474328,0.49171271,0.83645599,0.2320442,0.34246575,0.366225051,120.241388,17473
Christin Stewart,BOS,AAA,28,409,0.14914425,0.31784841,0.23668639,0.36430318,0.44970414,0.81400732,0.21301775,0.31937173,0.363811798,118.6848507,17714
Josh Lester,DET,AAA,27,621,0.0821256,0.22061192,0.2459605,0.31129032,0.47935368,0.790644,0.23339318,0.27135678,0.339577403,103.0537771,17737
Jakson Reetz,KCR,"AA,AAA",26,426,0.08215962,0.25352113,0.26430518,0.35915493,0.57493188,0.93408681,0.3106267,0.2887931,0.401917187,140.9265303,17837
Andrew Stevenson,WSN,AAA,28,604,0.07615894,0.22516556,0.27889908,0.34437086,0.45688073,0.80125159,0.17798165,0.34343434,0.351332359,110.6356701,17932
Austin Dean,SFG,AAA,28,438,0.08675799,0.21461187,0.26785714,0.34474886,0.46683673,0.81158559,0.19897959,0.31316726,0.349162444,99.3878289,18288
Daz Cameron,DET,AAA,25,430,0.08604651,0.28604651,0.24020888,0.31162791,0.39164491,0.70327282,0.15143603,0.32156863,0.313594636,86.29501169,18353
Jermaine Palacios,MIN,AAA,25,428,0.07943925,0.23831776,0.28316327,0.3411215,0.46173469,0.80285619,0.17857142,0.35018051,0.353496737,112.0316837,18371
Brendon Davis,LAA,AAA,24,589,0.12393888,0.22920204,0.23459245,0.33955857,0.42345924,0.76301781,0.18886679,0.27840909,0.338066654,99.45035088,18587
Estevan Florial,NYY,AAA,24,461,0.11713666,0.30368764,0.28287841,0.36819172,0.48138958,0.8495813,0.19851117,0.39759036,0.372466996,124.2674135,19151
Stone Garrett,ARI,AAA,26,440,0.075,0.23863636,0.27506427,0.33178654,0.56812339,0.89990993,0.29305912,0.30152672,0.369338025,112.0868946,19273
Alex De Goti,HOU,AAA,27,577,0.12651646,0.18024263,0.25303644,0.35243056,0.37651822,0.72894878,0.12348178,0.3012987,0.329898228,87.26240098,19477
Zack Short,DET,AAA,27,559,0.15742397,0.26654741,0.22875817,0.35483871,0.37254902,0.72738773,0.14379085,0.30819672,0.332912419,98.75489307,19562
Nate Mondou,OAK,AAA,27,449,0.10244989,0.18485523,0.28311688,0.37416481,0.43116883,0.80533364,0.14805195,0.34,0.357431315,104.5924836,19563
Otto Lopez,TOR,"A,AAA",23,413,0.10411622,0.15738499,0.28333333,0.3649635,0.39444444,0.75940794,0.11111111,0.33559322,0.342921281,105.6656145,19608
Ben DeLuzio,STL,AAA,27,408,0.08823529,0.22303922,0.27747253,0.35294118,0.42857143,0.78151261,0.1510989,0.34716981,0.349479296,109.4404528,19644
Jake Noll,WSN,AAA,28,423,0.04728132,0.1820331,0.25641026,0.30732861,0.41538462,0.72271323,0.15897436,0.29411765,0.318031533,89.15679027,19703
Ronnie Dawson,CIN,AAA,27,448,0.09375,0.25,0.2519084,0.33928571,0.39440204,0.73368775,0.14249364,0.32352941,0.331137776,97.61025652,19710
Darick Hall,PHI,AAA,26,443,0.09480813,0.22573363,0.25380711,0.32957111,0.52791878,0.85748989,0.27411167,0.26765799,0.364815674,119.332346,19717
Rylan Bannon,BAL,AAA,26,411,0.14355231,0.243309,0.24853801,0.36739659,0.42105263,0.78844922,0.17251462,0.31034483,0.356201879,113.776488,19768
Dairon Blanco,KCR,AAA,29,414,0.08454106,0.23671498,0.30054645,0.36650485,0.4863388,0.85284365,0.18579235,0.37065637,0.373968777,125.2360556,19779
Drew Ellis,SEA,AAA,26,468,0.15811966,0.25,0.22597403,0.35470085,0.45454545,0.8092463,0.22857142,0.2687747,0.352561241,101.5309456,19873
Adam Haseley,CHW,AAA,26,463,0.06911447,0.16846652,0.23923445,0.30519481,0.41148325,0.71667806,0.1722488,0.25914634,0.317045251,88.52064254,19878
Khalil Lee,NYM,"A,AAA",24,453,0.11037528,0.33112583,0.21354167,0.32964602,0.36979167,0.69943769,0.15625,0.32,0.321859142,92.02674187,19952
Eguy Rosario,SDP,AAA,22,564,0.10460993,0.19326241,0.2877551,0.36767318,0.50816327,0.87583645,0.22040817,0.32513661,0.374974355,115.6345558,19964
Conner Capel,OAK,AAA,25,409,0.12958435,0.17114914,0.26345609,0.36430318,0.42209632,0.7863995,0.15864023,0.3040293,0.354695909,112.0116252,19983
Miles Mastrobuoni,TBR,AAA,26,573,0.10994764,0.16579407,0.29980276,0.37696335,0.46942801,0.84639136,0.16962525,0.34170854,0.3755412,126.2502608,20017
Kramer Robertson,NYM,AAA,27,514,0.16342412,0.20038911,0.23902439,0.39299611,0.36341463,0.75641074,0.12439024,0.29391892,0.356622945,114.0480732,20022
Brian Miller,MIA,AAA,26,452,0.08185841,0.17035398,0.29166667,0.34888889,0.43382353,0.78271242,0.14215686,0.34146341,0.346800619,107.7127184,20047
Mark Contreras,MIN,AAA,27,423,0.08747045,0.29550827,0.23670213,0.31678487,0.41755319,0.73433806,0.18085106,0.31092437,0.325397416,93.90775101,20122
Miguel Vargas,LAD,AAA,22,520,0.13653846,0.14615385,0.30365297,0.40384615,0.51141553,0.91526168,0.20776256,0.33142857,0.396511325,129.1905176,20178
Jared Young,CHC,AAA,26,455,0.08791209,0.24175824,0.23,0.31125828,0.42,0.73125828,0.19,0.27075812,0.321684962,91.51323537,20404
Brewer Hicklen,KCR,AAA,26,559,0.10375671,0.36135957,0.24791667,0.34767025,0.50208333,0.84975358,0.25416666,0.35968379,0.369546964,122.3840061,20450
Seth Beer,ARI,AAA,25,402,0.10945274,0.16915423,0.24169184,0.36069652,0.43504532,0.79574184,0.19335348,0.25882353,0.350969323,100.5251283,20493
Jack Larsen,SEA,AA,27,528,0.13636364,0.20265152,0.26888889,0.37121212,0.40666667,0.77787879,0.13777778,0.33035714,0.357068688,104.1857303,20510
Carlos Perez,CHW,AAA,25,465,0.07311828,0.08602151,0.25358852,0.31612903,0.44976077,0.7658898,0.19617225,0.23415978,0.334650861,99.87618001,20805
Ford Proctor,TBR,AAA,25,459,0.14814815,0.28976035,0.22916667,0.34792123,0.34895833,0.69687956,0.11979166,0.3153527,0.321700149,88.48235364,21634
Esteury Ruiz,SDP,"AA,AAA",23,541,0.1219963,0.17375231,0.33180778,0.44736842,0.52631579,0.97368421,0.19450801,0.39209726,0.434206582,155.6318307,21780
Jonathan Aranda,TBR,AAA,24,465,0.09677419,0.21505376,0.31761787,0.39354839,0.52109181,0.9146402,0.20347394,0.37671233,0.39957107,141.7494167,21837
Bo Naylor,CLE,"AA,AAA",22,510,0.16078431,0.2372549,0.2626506,0.39215686,0.49638554,0.8885424,0.23373494,0.31768953,0.391014407,139.4912214,21865
Jerar Encarnacion,MIA,"AA,AAA",24,433,0.09699769,0.2817552,0.29427083,0.36258661,0.50520833,0.86779494,0.2109375,0.37142857,0.378481946,126.9567272,21871
Ryan Vilade,COL,"AAA,CPX",23,441,0.12018141,0.16326531,0.25065963,0.34545455,0.36147757,0.70693212,0.11081794,0.29180328,0.322612973,82.72795256,22165
Mark Vientos,NYM,AAA,22,427,0.1030445,0.28571429,0.28042328,0.35831382,0.51851852,0.87683234,0.23809524,0.35042735,0.379479911,128.7907114,22184
Livan Soto,LAA,AA,22,543,0.13075506,0.1878453,0.28070175,0.37918216,0.36184211,0.74102427,0.08114036,0.34463277,0.346750153,104.2374992,22471
Heliot Ramos,SFG,AAA,22,475,0.08631579,0.23578947,0.22716628,0.30526316,0.34894614,0.6542093,0.12177986,0.28289474,0.294018184,64.67851348,22515
Michael Siani,CIN,"AA,AAA",22,569,0.1142355,0.16695958,0.25203252,0.34507042,0.40447154,0.74954196,0.15243902,0.28423773,0.340369081,100.3613675,22557
Jordan Diaz,OAK,"AA,AAA",21,527,0.05313093,0.14421252,0.32586558,0.36622391,0.51527495,0.88149886,0.18940937,0.35338346,0.385155861,121.7410844,22650
Maikel Garcia,KCR,"AA,AAA",22,555,0.1045045,0.18378378,0.28542094,0.35934664,0.42710472,0.78645136,0.14168378,0.33773087,0.354117415,105.6928808,22715
Oswald Peraza,NYY,AAA,22,429,0.07925408,0.23310023,0.25906736,0.32943925,0.44818653,0.77762578,0.18911917,0.30223881,0.343404345,105.522137,22823
Lenyn Sosa,CHW,"AA,AAA",22,536,0.07276119,0.15485075,0.31469979,0.36940299,0.51138716,0.88079015,0.19668737,0.3359375,0.384909548,130.3932378,22896
Israel Pineda,WSN,"A+,AA,AAA",22,400,0.09,0.2375,0.25833333,0.325,0.45833333,0.78333333,0.2,0.30555556,0.347553276,110.7056283,22906
Yainer Diaz,HOU,"AA,AAA",23,486,0.06995885,0.16255144,0.30561798,0.35596708,0.54157303,0.89754011,0.23595505,0.32173913,0.383765225,120.9461266,23003
Ryan Dorow,TEX,AAA,26,424,0.10377358,0.22877358,0.23719677,0.32227488,0.35309973,0.67537461,0.11590296,0.30258303,0.305611369,71.97558288,23559
Jordan Groshans,TOR,"A,AAA",22,432,0.12731481,0.16203704,0.26344086,0.3587963,0.33064516,0.68944146,0.0672043,0.31456954,0.32300537,92.64751773,23794
Ji Hwan Bae,PIT,AAA,22,473,0.10147992,0.16913319,0.28878282,0.36228814,0.42959427,0.79188241,0.14081145,0.33832335,0.353218536,111.8522453,23818
Liover Peguero,PIT,AA,21,521,0.05566219,0.21305182,0.25879917,0.30501931,0.38716356,0.69218287,0.12836439,0.31593407,0.306337745,88.18035554,24273
Travis Swaggerty,PIT,AAA,24,458,0.12445415,0.25545852,0.25376884,0.34792123,0.39949749,0.74741872,0.14572865,0.33699634,0.337607997,101.7835193,24491
Logan O'Hoppe,PHI,AA,22,447,0.15659955,0.1655481,0.28333333,0.41610738,0.54444444,0.96055182,0.26111111,0.28897338,0.41913111,158.5932701,24729
James Outman,LAD,"AA,AAA",25,559,0.12522361,0.27191413,0.29386892,0.39247312,0.58562368,0.9780968,0.29175476,0.36610169,0.415713385,140.9202522,24770
David Hensley,HOU,AAA,26,464,0.17241379,0.22198276,0.29815303,0.42025862,0.47757256,0.89783118,0.17941953,0.38289963,0.397963348,130.1044613,25111
Peyton Burdick,MIA,AAA,25,430,0.12325581,0.27906977,0.21428571,0.32634033,0.40934066,0.73568099,0.19505495,0.27155172,0.329452501,96.52326175,25459
Korey Lee,HOU,AAA,23,446,0.08071749,0.28475336,0.23762376,0.30717489,0.48267327,0.78984816,0.24504951,0.28063241,0.333984055,89.83413288,25543
Will Brennan,CLE,"AA,AAA",24,590,0.08474576,0.11694915,0.31439394,0.37118644,0.47916667,0.85035311,0.16477273,0.33626374,0.372992444,126.5696519,25660
Michael Toglia,COL,"AA,AAA",23,495,0.12121212,0.3010101,0.24941725,0.34141414,0.51048951,0.85190365,0.26107226,0.30314961,0.366276314,124.4207707,25845
Corbin Carroll,ARI,"AA,AAA,CPX",21,442,0.15158371,0.24208145,0.30662983,0.42533937,0.61049724,1.03583661,0.30386741,0.37179487,0.442316162,157.3123531,25878
Vaughn Grissom,ATL,"A+,AA",21,442,0.08144796,0.12217195,0.32390746,0.40497738,0.49357326,0.89855064,0.1696658,0.34890966,0.407385753,145.9678487,26031
Francisco Alvarez,NYM,"AA,AAA",20,495,0.14141414,0.24848485,0.26034063,0.37373737,0.51094891,0.88468628,0.25060828,0.29962547,0.383765409,136.0037544,26121
Brett Baty,NYM,"AA,AAA",22,420,0.11666667,0.24761905,0.31491713,0.40952381,0.53314917,0.94267298,0.21823204,0.39748954,0.41406356,158.3260827,26123
Kyle Stowers,BAL,AAA,24,407,0.11056511,0.25552826,0.26361032,0.35714286,0.52722063,0.88436349,0.26361031,0.3173913,0.381089455,129.8288597,26151
Gunnar Henderson,BAL,"AA,AAA",21,503,0.15705765,0.2306163,0.2972973,0.41550696,0.53071253,0.94621949,0.23341523,0.36428571,0.412347055,153.281535,26289
Spencer Steer,MIN,"AA,AAA",24,492,0.10365854,0.18089431,0.27400468,0.36382114,0.51522248,0.87904362,0.2412178,0.29559748,0.382884873,127.2560128,26323
Matt Wallner,MIN,"AA,AAA",24,571,0.16987741,0.29772329,0.27729258,0.41155867,0.54148472,0.95304339,0.26419214,0.37593985,0.414087529,143.913875,26466
Alec Burleson,STL,AAA,23,470,0.06170213,0.14255319,0.33101852,0.37234043,0.53240741,0.90474784,0.20138889,0.35042735,0.392204002,136.9976914,27615
Anthony Prato,MIN,"A+,AA",24,565,0.11858407,0.2300885,0.2851153,0.38297872,0.44444444,0.82742316,0.15932914,0.36627907,0.376671038,122.1513154,sa1052903
TJ Hopkins,CIN,"AA,AAA",25,528,0.09090909,0.27651515,0.25910064,0.33333333,0.45824411,0.79157744,0.19914347,0.32679739,0.349576538,106.7208667,sa1053018
Marty Bechina,OAK,"A+,AA,AAA",25,408,0.11029412,0.31617647,0.22126437,0.33251232,0.35057471,0.68308703,0.12931034,0.32701422,0.319809539,83.15531078,sa1053075
Spencer Horwitz,TOR,"AA,AAA",24,483,0.15113872,0.19668737,0.27543424,0.39130435,0.4516129,0.84291725,0.17617866,0.33221477,0.377191993,131.7876822,sa1115496
Seth Gray,MIN,"A+,AA",24,506,0.09881423,0.32608696,0.23690205,0.33596838,0.38952164,0.72549002,0.15261959,0.3372093,0.335059176,104.7527904,sa1115752
Dominic Fletcher,ARI,"AA,AAA",24,591,0.09306261,0.19120135,0.31166348,0.3779661,0.48565966,0.86362576,0.17399618,0.37283951,0.377149264,116.7838033,sa1115778
Dominic Canzone,ARI,"AA,AAA,CPX",24,436,0.08486239,0.19036697,0.29949239,0.36697248,0.54060914,0.90758162,0.24111675,0.33217993,0.387951543,123.8855815,sa1115890
Kyle McCann,OAK,"AA,AAA",24,458,0.12227074,0.33406114,0.23350254,0.33842795,0.44416244,0.78259039,0.2106599,0.32126697,0.349875934,99.69740713,sa1159677
Colin Simpson,COL,A+,25,373,0.09651475,0.20911528,0.3,0.36997319,0.53030303,0.90027622,0.23030303,0.34309623,0.396183355,145.8883165,sa1159681
Quincy McAfee,CIN,"A+,AA",24,384,0.11979167,0.2578125,0.21118012,0.32552083,0.32919255,0.65471338,0.11801243,0.27272727,0.307961753,81.17020242,sa1159899
Beau Philip,ATL,A+,23,449,0.13808463,0.29175947,0.22133333,0.33705357,0.34133333,0.6783869,0.12,0.29957806,0.320868753,92.27981106,sa1169595
Matthew Lugo,BOS,"A+,AA",21,524,0.06679389,0.19847328,0.28242678,0.33843212,0.4916318,0.83006392,0.20920502,0.32590529,0.36841886,122.2085563,sa1169598
Tyler Callihan,CIN,"A,A+",22,361,0.07479224,0.22160665,0.25,0.31111111,0.39634146,0.70745257,0.14634146,0.30864198,0.323832227,98.19884293,sa1169610
Marcus Smith,TEX,A,21,385,0.17142857,0.42337662,0.17880795,0.33595801,0.2615894,0.59754741,0.08278145,0.35251799,0.306215553,82.11738494,sa1169620
LJ Talley,TOR,"AA,AAA",25,444,0.09009009,0.1981982,0.26395939,0.33783784,0.41878173,0.75661957,0.15482234,0.30872483,0.336112799,102.3009812,sa1169773
Ryan Ward,LAD,AA,24,506,0.0770751,0.22924901,0.25490196,0.31881188,0.48583878,0.80465066,0.23093682,0.2807571,0.349656991,99.58404005,sa1169792
Clay Dungan,KCR,AAA,26,515,0.09126214,0.19417476,0.2079646,0.29434698,0.3340708,0.62841778,0.1261062,0.24495677,0.287045033,69.17063994,sa1169803
Cody Milligan,ATL,"A+,AA",23,575,0.14086957,0.18086957,0.29606625,0.39652174,0.38095238,0.77747412,0.08488613,0.3671875,0.363608367,116.5783004,sa1169818
Nick Sogard,BOS,"AA,AAA",24,472,0.12923729,0.18644068,0.25436409,0.35881104,0.34912718,0.70793822,0.09476309,0.31410256,0.327914638,98.93853352,sa1169919
Aaron Shackelford,PIT,"AA,AAA",25,459,0.08714597,0.29411765,0.23244552,0.30567686,0.48184019,0.78751705,0.24939467,0.27667984,0.340568826,110.5081546,sa1169950
Brett Wisely,TBR,"AA,AAA",23,523,0.12045889,0.21032505,0.27272727,0.36590038,0.45454545,0.82044583,0.18181818,0.32826748,0.367105749,117.4783739,sa1170003
Cam Devanney,MIL,"AA,AAA",25,515,0.09320388,0.21359223,0.26385809,0.34174757,0.49223947,0.83398704,0.22838138,0.29538462,0.365059384,116.3922614,sa1170010
Cade Marlowe,SEA,"AA,AAA",25,578,0.10726644,0.26989619,0.28657315,0.37716263,0.48697395,0.86413658,0.2004008,0.37037037,0.383048004,120.3179511,sa1170288
Jake Means,KCR,AA,26,430,0.11395349,0.27674419,0.208,0.30697674,0.35466667,0.66164341,0.14666667,0.27235772,0.304244606,71.3889138,sa1170316
Bryce Ball,CHC,AA,23,562,0.1227758,0.21530249,0.2654321,0.35650624,0.40534979,0.76185603,0.13991769,0.32960894,0.347187472,104.518628,sa1170451
Mason McCoy,SEA,AAA,27,503,0.09940358,0.2584493,0.25565611,0.332,0.47285068,0.80485068,0.21719457,0.31081081,0.343504401,95.82650055,sa3002758
Evan Mendoza,STL,AAA,26,421,0.13301663,0.13301663,0.24722222,0.34761905,0.325,0.67261905,0.07777778,0.28052805,0.314850484,87.10502791,sa3002836
Luis Yanel Diaz,LAD,"A,A+",22,443,0.09706546,0.26410835,0.25449871,0.33257919,0.44730077,0.77987996,0.19280206,0.31538462,0.352928705,103.1364513,sa3002846
Robert Perez Jr.,SEA,"A,A+",22,568,0.125,0.25,0.28817204,0.39788732,0.52258065,0.92046797,0.23440861,0.3485342,0.410581224,139.6518241,sa3002851
Carlos Luis,SDP,"A,A+",22,446,0.10089686,0.18609865,0.30534351,0.37668161,0.44020356,0.81688517,0.13486005,0.36893204,0.375025074,115.2733271,sa3002860
Ismael Alcantara,LAD,"A+,AA",23,404,0.06930693,0.26485149,0.1915493,0.27135678,0.30985915,0.58121593,0.11830985,0.24691358,0.270589145,61.94760829,sa3002862
Freuddy Batista,SEA,"A,CPX",22,365,0.08493151,0.26849315,0.25867508,0.35342466,0.42586751,0.77929217,0.16719243,0.34597156,0.361480365,104.2417901,sa3002866
Rafael Lantigua,TOR,"AA,AAA",24,547,0.09689214,0.19195612,0.27402863,0.34552102,0.39263804,0.73815906,0.11860941,0.33421053,0.332323534,102.9958196,sa3003219
Aldenis Sanchez,NYY,A+,23,363,0.11570248,0.2892562,0.25714286,0.34986226,0.30793651,0.65779877,0.05079365,0.37914692,0.314870576,88.50484564,sa3003222
Luis Mieses,CHW,"A+,AA",22,553,0.05063291,0.16636528,0.28433269,0.32549729,0.44680851,0.7723058,0.16247582,0.31961259,0.345665023,107.0855472,sa3003274
Diego Infante,TBR,"A+,AA,AAA",22,473,0.09302326,0.28541226,0.2759434,0.34038055,0.43160377,0.77198432,0.15566037,0.37010676,0.347684432,107.4995029,sa3003280
Jose Peroza,NYM,A+,22,459,0.10457516,0.23965142,0.27135678,0.3558952,0.39949749,0.75539269,0.12814071,0.35087719,0.347182963,108.8407165,sa3003288
Alexander Canario,CHC,"A+,AA,AAA",22,534,0.11048689,0.2752809,0.25215517,0.34333959,0.55603448,0.89937407,0.30387931,0.28268551,0.387709741,132.7626289,sa3003316
Wenceel Perez,DET,"A+,AA",22,407,0.1031941,0.14987715,0.29494382,0.36855037,0.53370787,0.90225824,0.23876405,0.31707317,0.392372632,143.2225749,sa3003326
Sebastian Espino,TOR,AA,22,380,0.05789474,0.43684211,0.18079096,0.23421053,0.36440678,0.59861731,0.18361582,0.28571429,0.262277928,59.30179162,sa3003347
Kenneth Betancourt,LAD,"A,AA",22,402,0.08706468,0.1641791,0.27222222,0.3375,0.37222222,0.70972222,0.1,0.32081911,0.33198736,86.41595755,sa3003350
Juan Carlos Negret,KCR,A+,23,377,0.0928382,0.24933687,0.2218845,0.29708223,0.44072948,0.73781171,0.21884498,0.24336283,0.327177455,100.3085464,sa3003430
Cullen Large,TOR,AAA,26,468,0.1025641,0.27136752,0.23844282,0.32692308,0.3649635,0.69188658,0.12652068,0.32616487,0.314389502,86.80769678,sa3003959
Tirso Ornelas,SDP,"AA,AAA",22,507,0.08678501,0.17159763,0.28571429,0.35247525,0.4043956,0.75687085,0.11868131,0.33884298,0.344440874,96.33459781,sa3004048
Marcus Chiu,MIA,"A+,AA",25,394,0.07106599,0.2893401,0.22190202,0.31043257,0.37175793,0.6821905,0.14985591,0.29279279,0.314984983,90.35988492,sa3004060
Jancarlos Cintron,ARI,"AA,AAA",27,436,0.05733945,0.1353211,0.3375,0.37819026,0.49,0.86819026,0.1525,0.37982196,0.380396937,118.8802485,sa3004065
Chris Seise,TEX,A+,23,388,0.09536082,0.32216495,0.24566474,0.31865285,0.38439306,0.70304591,0.13872832,0.35211268,0.322199557,93.11735586,sa3004142
Jeisson Rosario,NYY,AA,22,433,0.147806,0.18937644,0.24309392,0.36258661,0.40883978,0.77142639,0.16574586,0.28413284,0.348222535,115.6333203,sa3004146
Johnathan Rodriguez,CLE,"A+,AA",22,434,0.06221198,0.31105991,0.26865672,0.31797235,0.539801,0.85777335,0.27114428,0.33744856,0.373071407,130.1744391,sa3004147
Jake Scheiner,SEA,AA,26,568,0.12852113,0.20950704,0.25157233,0.3556338,0.45492662,0.81056042,0.20335429,0.28612717,0.360875549,106.5492913,sa3004160
Abrahan Gutierrez,PIT,A+,22,441,0.11791383,0.25396825,0.25729443,0.35600907,0.41114058,0.76714965,0.15384615,0.3307393,0.352951135,112.4709282,sa3004263
Jose Sanchez,WSN,A+,21,452,0.09955752,0.18584071,0.23115578,0.31485588,0.31658291,0.63143879,0.08542713,0.27884615,0.298431247,78.15871801,sa3004382
Ricardo Mendez,WSN,A+,22,358,0.0698324,0.20111732,0.22699387,0.28611898,0.3190184,0.60513738,0.09202453,0.27710843,0.281760109,67.66670079,sa3004383
Davis Schneider,TOR,"A+,AA,AAA",23,454,0.14317181,0.25550661,0.25326371,0.36563877,0.45691906,0.82255783,0.20365535,0.3201581,0.367609159,126.9158369,sa3004518
Jacob Gonzalez,PIT,"A,A+",24,480,0.075,0.13125,0.30496454,0.37708333,0.45862884,0.83571217,0.1536643,0.32954545,0.380622785,131.3333581,sa3004691
Jacob Pearson,ATL,"A+,AA",24,407,0.12039312,0.2039312,0.2283237,0.33251232,0.33236994,0.66488226,0.10404624,0.2851711,0.314231121,86.57821265,sa3004722
Shane Matheny,SFG,"AA,AAA",26,432,0.1412037,0.31944444,0.24309392,0.35897436,0.40331492,0.76228928,0.160221,0.3507109,0.343756665,111.1897805,sa3004780
Quincy Nieporte,DET,AA,27,518,0.07722008,0.16409266,0.27015251,0.33139535,0.53594771,0.86734306,0.2657952,0.26345609,0.369219823,129.3957819,sa3004819
Justin Connell,WSN,"A+,AA",23,460,0.11956522,0.2826087,0.23393316,0.34354486,0.40359897,0.74714383,0.16966581,0.31174089,0.338158969,107.9500683,sa3004884
Mason Martin,PIT,AAA,23,541,0.0961183,0.35859519,0.20997921,0.28650647,0.40956341,0.69606988,0.1995842,0.29927007,0.302902255,79.39847561,sa3004885
Riley Delgado,ATL,AA,27,412,0.07524272,0.13834951,0.2722372,0.33980583,0.32884097,0.6686468,0.05660377,0.31528662,0.31304053,82.56740354,sa3004934
Francisco Hernandez,STL,A+,22,364,0.12637363,0.27472527,0.21935484,0.32692308,0.33225806,0.65918114,0.11290322,0.30288462,0.310751507,89.73774101,sa3004942
Imanol Vargas,LAD,A+,24,470,0.17021277,0.30851064,0.26771654,0.40425532,0.4671916,0.87144692,0.19947506,0.38356164,0.398512903,146.2159828,sa3004972
Robbie Glendinning,KCR,AA,26,518,0.14478764,0.32432432,0.25233645,0.37330754,0.43925234,0.81255988,0.18691589,0.36326531,0.368954342,111.5651605,sa3004978
Eddy Diaz,COL,"A+,CPX",22,447,0.06711409,0.19910515,0.26086957,0.33029613,0.37340153,0.70369766,0.11253196,0.31893688,0.322662468,98.75670542,sa3004979
